yfips,year,fips,state,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,asian_pop_15to64,black_pop_15to64,latino_pop_15to64,native_pop_15to64,other_pop_15to64,white_pop_15to64,urbanicity,region,division,commuting_zone,metro_area,land_area,total_jail_adm,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_jail_pop,female_jail_pop,male_jail_pop,asian_jail_pop,black_jail_pop,latino_jail_pop,native_jail_pop,white_jail_pop,total_jail_pretrial,female_jail_pretrial,male_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,asian_prison_pop,black_prison_pop,latino_prison_pop,native_prison_pop,other_prison_pop,white_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,asian_prison_adm,black_prison_adm,latino_prison_adm,native_prison_adm,other_prison_adm,white_prison_adm,num_facilites,num_employees,confined_pop,capacity,ucr_population,index_crime,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,agr_assault_crime,burglary_crime,larceny_crime,mv_theft_crime,arson_crime
197009001,1970,9001,CT,Fairfield County,792801,497126,257740,239386,,33260,,,1890,461976,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,,,,,,,,,,,,
197109001,1971,9001,CT,Fairfield County,792757,500177,258765,241412,,33819,,,2123,464235,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,,,,,,,,,,,,
197209001,1972,9001,CT,Fairfield County,788035,501357,258867,242490,,34384,,,2363,464610,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,,,,,,,,,,,,
197309001,1973,9001,CT,Fairfield County,786527,505052,260543,244509,,35160,,,2633,467259,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,,,,,,,,,,,,
197409001,1974,9001,CT,Fairfield County,788321,510560,263314,247246,,36009,,,2916,471635,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,,,,,,,,,,,,
197509001,1975,9001,CT,Fairfield County,794558,518936,267617,251319,,37209,,,3246,478481,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,,,,,,,,,,,,
197609001,1976,9001,CT,Fairfield County,797443,525635,271000,254635,,38386,,,3578,483671,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,,,,,,,,,,,,
197709001,1977,9001,CT,Fairfield County,810423,539296,278032,261264,,40145,,,3991,495160,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,521490,37676,1900,35776,43,222,606,1029,13599,18267,3910,0
197809001,1978,9001,CT,Fairfield County,802645,537302,277008,260294,,40707,,,4301,492294,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,787257,40994,2451,38543,43,145,1127,1136,11321,21278,5944,0
197909001,1979,9001,CT,Fairfield County,802659,540614,278635,261979,,41697,,,4675,494242,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,,,,,,,,,,,,
198009001,1980,9001,CT,Fairfield County,808907,547685,282215,265470,,43646,,,5238,498801,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,780678,52805,3073,49732,37,145,1542,1349,16633,27342,5227,530
198109001,1981,9001,CT,Fairfield County,813187,553441,284893,268548,,45291,,,6073,502077,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,712311,48279,3110,45169,57,125,1645,1283,14713,25109,4816,531
198209001,1982,9001,CT,Fairfield County,817944,558077,287022,271055,,46805,,,6909,504363,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,795250,50653,3464,47189,53,171,1796,1444,13614,27561,5726,288
198309001,1983,9001,CT,Fairfield County,821860,561575,288456,273119,,48222,,,7687,505666,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,791456,47564,3318,44246,49,123,1815,1331,12666,25682,5675,223
198409001,1984,9001,CT,Fairfield County,825107,565465,290171,275294,,49667,,,8533,507265,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,801318,44221,3726,40495,46,162,1886,1632,10290,24805,5136,264
198509001,1985,9001,CT,Fairfield County,830393,569989,292247,277742,,51144,,,9410,509435,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,801935,44055,3693,40362,51,128,1917,1597,9747,24973,5381,261
198609001,1986,9001,CT,Fairfield County,831802,571369,292453,278916,,52419,,,10262,508688,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,802045,43576,3818,39758,62,155,1732,1869,10622,23862,5022,252
198709001,1987,9001,CT,Fairfield County,828286,568249,290621,277628,,53336,,,11061,503852,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,802533,42886,3310,39576,57,155,1629,1469,10586,23411,5359,220
198809001,1988,9001,CT,Fairfield County,826605,565658,288977,276681,,54348,,,11871,499439,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,801295,44572,3683,40889,60,186,1674,1763,10549,23340,6798,202
198909001,1989,9001,CT,Fairfield County,827522,563201,287482,275719,,55304,,,12734,495163,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,794031,47664,4377,43287,63,187,2232,1895,11159,23509,8436,183
199009001,1990,9001,CT,Fairfield County,828860,561084,286116,274968,12118,52436,48056,755,,447719,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,803998,48316,4714,43602,80,171,2489,1974,11692,22734,8883,293
199109001,1991,9001,CT,Fairfield County,833094,558680,285194,273486,13172,52918,50150,770,,441670,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,804995,47205,4800,42405,77,210,2476,2037,10399,21961,9740,305
199209001,1992,9001,CT,Fairfield County,834372,554291,282965,271326,14058,53064,51867,790,,434512,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,802538,44905,4542,40363,83,161,2470,1828,11057,20854,8160,292
199309001,1993,9001,CT,Fairfield County,838945,552591,282346,270245,15071,53680,54082,820,,428938,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,,,,,,,,,,,,
199409001,1994,9001,CT,Fairfield County,842482,551745,282333,269412,15879,53794,56058,802,,425212,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,799255,38328,3768,34560,72,157,1702,1837,7602,20631,5984,343
199509001,1995,9001,CT,Fairfield County,848057,553413,282871,270542,16897,54763,58566,804,,422383,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,801140,37504,3225,34279,53,131,1448,1593,7286,21296,4990,707
199609001,1996,9001,CT,Fairfield County,854421,557102,284831,272271,17792,55477,61574,822,,421437,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,800881,37395,3625,33770,62,148,1577,1838,7474,20862,4783,651
199709001,1997,9001,CT,Fairfield County,861020,561611,287217,274394,18899,56393,64486,843,,420990,small/mid,Northeast,New England,78,14860,624.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,917,3034,2381,799895,35293,3993,31300,44,172,1509,2268,6704,19421,4699,476
