ID_Number,year,fips,state,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,asian_pop_15to64,black_pop_15to64,latino_pop_15to64,native_pop_15to64,other_pop_15to64,white_pop_15to64,urbanicity,region,division,commuting_zone,metro_area,land_area,total_jail_adm,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_jail_pop,female_jail_pop,male_jail_pop,asian_jail_pop,black_jail_pop,latino_jail_pop,native_jail_pop,white_jail_pop,total_jail_pretrial,female_jail_pretrial,male_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,asian_prison_pop,black_prison_pop,latino_prison_pop,native_prison_pop,other_prison_pop,white_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,asian_prison_adm,black_prison_adm,latino_prison_adm,native_prison_adm,other_prison_adm,white_prison_adm,num_facilites,num_employees,confined_pop,capacity,ucr_population,index_crime,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,agr_assault_crime,burglary_crime,larceny_crime,mv_theft_crime,arson_crime
197023001,1970,23001,ME,Androscoggin County,91605,54366,28515,25851,,83,,,101,54182,small/mid,Northeast,New England,94,30340,467.941,0,,,,34,0,34,,,,,,16,0,16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197123001,1971,23001,ME,Androscoggin County,92884,55479,28990,26489,,87,,,116,55276,small/mid,Northeast,New England,94,30340,467.941,0,,,,33.125,0,33,,,,,,17,0,16.07692,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197223001,1972,23001,ME,Androscoggin County,93755,56475,29404,27071,,102,,,131,56242,small/mid,Northeast,New England,94,30340,467.941,0,,,,32.25,0,32,,,,,,18,0,16.15385,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197323001,1973,23001,ME,Androscoggin County,95077,57814,30027,27787,,107,,,143,57564,small/mid,Northeast,New England,94,30340,467.941,0,,,,31.375,0,31,,,,,,19,0,16.23077,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197423001,1974,23001,ME,Androscoggin County,95871,58769,30469,28300,,115,,,159,58495,small/mid,Northeast,New England,94,30340,467.941,0,,,,30.5,0,30,,,,,,20,0,16.30769,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197523001,1975,23001,ME,Androscoggin County,95536,58890,30492,28398,,122,,,173,58595,small/mid,Northeast,New England,94,30340,467.941,0,,,,29.625,0,29,,,,,,21,0,16.38461,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197623001,1976,23001,ME,Androscoggin County,97125,60597,31326,29271,,127,,,191,60279,small/mid,Northeast,New England,94,30340,467.941,0,,,,28.75,0,28,,,,,,22,0,16.46154,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197723001,1977,23001,ME,Androscoggin County,98182,61802,31911,29891,,138,,,205,61459,small/mid,Northeast,New England,94,30340,467.941,0,,,,27.875,0,27,,,,,,23,0,16.53846,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,104000,4817,442,4375,1,23,54,364,1178,2951,246,0
197823001,1978,23001,ME,Androscoggin County,98837,62679,32321,30358,,142,,,223,62314,small/mid,Northeast,New England,94,30340,467.941,521.4286,,,,27,1,26,,,,,,24,1,16.61539,0,0,9,0,1,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,95480,4877,470,4407,1,12,43,414,1301,2857,249,0
197923001,1979,23001,ME,Androscoggin County,99656,63505,32695,30810,,147,,,238,63120,small/mid,Northeast,New England,94,30340,467.941,1027.543,,,,28,1,27,,,,,,22.8,1,16.69231,0,0,9.2,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
