yfips,year,fips,state,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,asian_pop_15to64,black_pop_15to64,latino_pop_15to64,native_pop_15to64,other_pop_15to64,white_pop_15to64,urbanicity,region,division,commuting_zone,metro_area,land_area,total_jail_adm,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_jail_pop,female_jail_pop,male_jail_pop,asian_jail_pop,black_jail_pop,latino_jail_pop,native_jail_pop,white_jail_pop,total_jail_pretrial,female_jail_pretrial,male_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,asian_prison_pop,black_prison_pop,latino_prison_pop,native_prison_pop,other_prison_pop,white_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,asian_prison_adm,black_prison_adm,latino_prison_adm,native_prison_adm,other_prison_adm,white_prison_adm,num_facilites,num_employees,confined_pop,capacity,ucr_population,index_crime,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,agr_assault_crime,burglary_crime,larceny_crime,mv_theft_crime,arson_crime
197050001,1970,50001,VT,Addison County,24308,14692,7271,7421,,32,,,19,14641,rural,Northeast,New England,105,,766.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197150001,1971,50001,VT,Addison County,24462,14906,7364,7542,,35,,,22,14849,rural,Northeast,New England,105,,766.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197250001,1972,50001,VT,Addison County,24706,15213,7496,7717,,38,,,27,15148,rural,Northeast,New England,105,,766.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197350001,1973,50001,VT,Addison County,25727,16047,7902,8145,,42,,,31,15974,rural,Northeast,New England,105,,766.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197450001,1974,50001,VT,Addison County,26400,16635,8201,8434,,41,,,35,16559,rural,Northeast,New England,105,,766.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197550001,1975,50001,VT,Addison County,26800,17039,8407,8632,,44,,,38,16957,rural,Northeast,New England,105,,766.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197650001,1976,50001,VT,Addison County,27132,17476,8636,8840,,48,,,39,17389,rural,Northeast,New England,105,,766.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197750001,1977,50001,VT,Addison County,27271,17703,8765,8938,,51,,,45,17607,rural,Northeast,New England,105,,766.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197850001,1978,50001,VT,Addison County,27597,18093,8963,9130,,53,,,49,17991,rural,Northeast,New England,105,,766.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197950001,1979,50001,VT,Addison County,28482,18818,9339,9479,,56,,,54,18708,rural,Northeast,New England,105,,766.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
198050001,1980,50001,VT,Addison County,29467,19631,9756,9875,,59,,,57,19515,rural,Northeast,New England,105,,766.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
198150001,1981,50001,VT,Addison County,29552,19755,9819,9936,,66,,,73,19616,rural,Northeast,New England,105,,766.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
